交易平台,24H成交额,交易对数量,国家/地区,交集类型,评级,关注数
Bithumb,¥97.4亿,53,韩国,支持现货交易,5,1454
BitMEX,¥70.15亿,8,塞舌尔,支持期货交易,4,2389
OKEX,¥34.4亿,435,马耳他,支持现货交易/支持期货交易/支持场外交易,4,17948
火币全球站,¥24.05亿,390,塞舌尔,支持现货交易/支持期货交易/支持场外交易,5,19252
币安网,¥23.02亿,393,未知,支持现货交易,5,17716
HitBTC,¥17.2亿,630,英国,支持现货交易,4,840
Bit-Z,¥15.26亿,141,中国香港,支持现货交易/支持场外交易,2,7135
Bibox,¥13.68亿,198,爱沙尼亚,支持现货交易/支持场外交易,3,6137
Bit.cc,¥13.34亿,82,英国,支持现货交易/支持场外交易,3,388
ZB网,¥11.93亿,135,萨摩亚,支持现货交易/支持场外交易,3,20835
币赢国际站,¥9.73亿,44,中国香港,支持现货交易/支持场外交易,3,608
FCoin,¥9.7亿,116,未知,支持现货交易,3,11576
DigiFinex,¥9.48亿,103,塞舌尔,支持现货交易/支持场外交易,3,4222
Bitfinex,¥9.23亿,227,中国香港,支持现货交易/支持期货交易,5,10793
DragonEx,¥6.67亿,61,新加坡,支持现货交易/支持场外交易,3,4644
汇币网,¥6.39亿,35,中国香港,支持现货交易/支持场外交易,2,10225
IDAX,¥6.22亿,97,蒙古国,支持现货交易/支持场外交易,3,6256
CoinTiger,¥5.33亿,58,新加坡,支持现货交易/支持场外交易,2,5433
Upbit,¥5.18亿,291,韩国,支持现货交易,4,9694
ZG.TOP,¥4.99亿,41,蒙古国,支持现货交易,1,3454
Allcoin,¥4.87亿,31,加拿大,支持现货交易/支持场外交易,2,3022
香港富比特,¥4.72亿,65,中国香港,支持现货交易/支持场外交易,1,10339
Liquid,¥4.14亿,70,日本,支持现货交易,3,11
K网,¥3.73亿,64,美国,支持现货交易,3,4800
Coinbase Pro,¥3.67亿,30,美国,支持现货交易,4,375
ZZEX,¥3.49亿,27,新加坡,支持现货交易/支持场外交易,1,233
币虎全球BihuEX,¥3.43亿,15,开曼群岛,支持现货交易/支持期货交易/支持场外交易,1,688
东方交易所,¥3.35亿,14,新加坡,支持现货交易/支持场外交易,1,20
IDCM,¥3.31亿,40,塞舌尔,支持现货交易/支持场外交易,1,10468
YOEXS,¥3.11亿,56,开曼群岛,支持现货交易/支持场外交易,2,370
币客,¥3.03亿,35,新加坡,支持现货交易/支持期货交易/支持场外交易,1,1013
AT交易所,¥2.88亿,18,新加坡,支持现货交易/支持场外交易,1,183
Bitbank,¥2.72亿,8,日本,支持现货交易,3,61
BCEX,¥2.61亿,54,加拿大,支持现货交易/支持期货交易/支持场外交易,3,5556
KKCoin,¥2.41亿,12,新加坡,支持现货交易/支持期货交易,2,1120
Q网,¥2.27亿,68,开曼群岛,支持现货交易,2,224
Bitstamp,¥2.2亿,11,英国,支持现货交易,4,133
币万,¥2.1亿,17,新加坡,支持现货交易/支持场外交易,1,1335
胖比特,¥1.93亿,30,美国,支持现货交易,3,5244
gate.io,¥1.56亿,347,开曼群岛,支持现货交易/支持场外交易,4,11535
炒客网,¥1.55亿,31,爱沙尼亚,支持现货交易,3,69
bitFlyer,¥1.4亿,4,日本,支持现货交易/支持期货交易,4,80
Hubi,¥1.31亿,21,中国香港,支持现货交易/支持场外交易,1,6107
B网,¥1.28亿,286,美国,支持现货交易/支持期货交易,5,401
KuCoin,¥1.2亿,380,新加坡,支持现货交易,3,5950
BTCBOX,¥1.04亿,4,日本,支持现货交易,3,49
P网,"¥8,811.11万",114,美国,支持现货交易,5,243
Exmo,"¥8,607.83万",91,西班牙,支持现货交易,2,34
YoBit,"¥8,485.01万",177,俄罗斯,支持现货交易,2,198
HPX,"¥6,988.07万",22,澳洲,支持现货交易/支持场外交易,1,41
满币网,"¥6,567.76万",123,新加坡,支持现货交易/支持场外交易,2,234
Coincheck,"¥6,357.74万",1,日本,支持现货交易,3,0
Livecoin,"¥5,568.07万",206,未知,支持现货交易,2,127
双子星,"¥4,833.19万",6,美国,支持现货交易,4,64
FEX,"¥4,312.99万",28,中国香港,支持现货交易,1,880
Coinone,"¥3,938.63万",15,韩国,支持现货交易,4,59
itBit,"¥3,924.91万",1,美国,支持现货交易,2,15
Tidex,"¥3,385.11万",19,英国,支持现货交易,2,128
酷币,"¥3,138.48万",12,澳洲,支持现货交易,2,60
BitBay,"¥2,645.97万",43,波兰,支持现货交易,2,49
Rfinex,"¥2,474.05万",15,瑞士,支持现货交易,1,214
李逵,"¥2,396.92万",119,乌克兰,支持现货交易,3,42
OkCoin韩国站,"¥1,913.95万",16,韩国,支持现货交易/支持场外交易,2,41
柯宾汉,"¥1,721.09万",46,美国,支持现货交易,2,42
Zaif,"¥1,391.73万",14,日本,支持现货交易/支持期货交易,3,34
DSX,"¥1,356.66万",13,英国,支持现货交易,2,12
C网,¥774.19万,643,新西兰,支持现货交易,2,206
Luno,¥744.25万,4,英国,支持现货交易,2,15
CEO交易所,¥636.03万,34,中国香港,支持现货交易/支持场外交易,2,6355
YEX,¥604.27万,22,新加坡,支持现货交易/支持场外交易,1,61
BoxEx,¥440.12万,4,萨摩亚,支持现货交易,2,14
STEX,¥388.84万,128,爱沙尼亚,支持现货交易,1,119
IDEX,¥371.75万,110,未知,支持现货交易,2,85
CREX24,¥328.41万,170,塞舌尔,支持现货交易,1,111
Bitso,¥315.38万,17,墨西哥,支持现货交易,2,10
OkCoin国际,¥301.69万,3,中国香港,支持现货交易/支持场外交易,5,1
ACX,¥198.63万,8,澳洲,支持现货交易,2,17
hellobts,¥83.91万,2,新加坡,支持现货交易,2,18
Kuna,¥79.89万,21,俄罗斯,支持现货交易,1,11
OTCBTC,¥59.7万,35,未知,支持现货交易/支持场外交易,4,6696
Bleutrade,¥15.1万,81,马耳他,支持现货交易,1,28
Fisco,¥12.94万,3,阿富汗斯坦,支持现货交易,2,24
KKEX,¥51683.17,4,塞舌尔,支持现货交易,3,4524
COINNEST,¥39915.93,8,韩国,支持现货交易,2,23
WEX,--,12,美国,支持现货交易,2,41
BTC Markets,--,15,澳洲,支持现货交易,3,24
xBTCe,--,43,未知,支持现货交易,2,11
BX Thailand,--,8,泰国,支持现货交易,2,17
加勒比H网,--,16,加勒比,支持现货交易/支持场外交易,1,260
趣币网,¥36.86亿,27,塞舌尔,支持现货交易/支持场外交易,1,35
火币合约,¥23.6亿,6,英国,支持期货交易,3,0
BQEX,¥16.62亿,28,新加坡,支持现货交易/支持场外交易,1,24
GAEA,¥14.43亿,4,塞舌尔,支持现货交易/支持期货交易,1,0
10086coin,¥12.64亿,4,英国,支持现货交易/支持场外交易,1,52
IOAEX,¥12.27亿,7,开曼群岛,支持现货交易/支持期货交易/支持场外交易,1,3335
Exrates,¥10.65亿,122,未知,支持现货交易,2,103
VVBTC,¥10.46亿,14,加拿大,支持现货交易/支持场外交易,1,72
XTRA,¥9.81亿,19,新加坡,支持现货交易/支持场外交易,1,43
ABEX,¥9.71亿,6,新加坡,支持现货交易/支持场外交易,1,1
BitMart,¥8.75亿,73,开曼群岛,支持现货交易,1,56
COINBIG,¥8.47亿,31,新西兰,支持现货交易,1,61
LBank,¥7.85亿,82,中国香港,支持现货交易,1,5948
OEX全球站,¥7.52亿,22,新加坡,支持现货交易,1,1
Dcoin,¥6.83亿,75,瑞士,支持现货交易,1,11
币涨,¥6.28亿,11,美国,支持现货交易/支持场外交易,1,48
PK.TOP,¥5.9亿,13,新加坡,支持现货交易/支持场外交易,1,445
Bitget,¥5.89亿,51,新加坡,支持现货交易,1,1
币昇,¥5.77亿,11,英国,支持现货交易/支持场外交易,1,68
Simex,¥5.55亿,11,俄罗斯,支持现货交易,1,12
BKEX,¥5.03亿,59,英国,支持现货交易/支持场外交易,1,529
紫牛币交所,¥4.25亿,63,中国香港,支持现货交易/支持场外交易,2,2160
HEX,¥4.03亿,43,新加坡,支持现货交易/支持场外交易,1,0
Coinsuper,¥3.77亿,74,中国香港,支持现货交易/支持场外交易,1,116
BitAsset,¥3.7亿,26,中国香港,支持现货交易/支持场外交易,1,85
58COIN,¥3.31亿,5,英国,支持现货交易/支持场外交易,1,86
热币网,¥3.1亿,24,塞舌尔,支持现货交易/支持场外交易,1,0
币龙网,¥2.92亿,37,新西兰,支持现货交易/支持场外交易,1,394
币蛋,¥2.84亿,127,英国,支持现货交易,2,1
币管家,¥2.5亿,58,塞舌尔,支持现货交易/支持场外交易,1,2126
OCX,¥2.45亿,31,新加坡,支持现货交易,2,95
6x交易站,¥2.23亿,26,新加坡,支持现货交易/支持场外交易,1,1
B2BX,¥2.23亿,26,中国香港,支持现货交易/支持场外交易,1,0
COIN918,¥1.99亿,202,澳洲,支持现货交易,1,209
IX交易所,¥1.82亿,5,新加坡,支持现货交易,1,59
Ethfinex,¥1.69亿,51,阿富汗斯坦,支持现货交易,2,30
T网,¥1.65亿,16,中国香港,支持现货交易/支持场外交易,1,118
