币种,流通市值,全球指数,24H成交额,流通数量,24H涨幅
USDT-泰达币,¥128.01亿,¥6.8956,¥153.88亿,18.56亿,-0.13%
BNB-币安币,¥44.29亿,¥33.8626,¥1.12亿,1.31亿,+5.21%
HT-火币积分,¥22.58亿,¥7.5272,"¥3,666.64万",3亿*,+3.09%
ONT-本体,¥21.12亿,¥3.5344,¥1.04亿,5.97亿*,+11.16%
MKR-Maker,¥17.93亿,¥2461.88,"¥1,235.63万",72.82万,+4.40%
OMG-嫩模币,¥11.79亿,¥8.4087,¥6.12亿,1.4亿,+4.04%
TUSD-True USD,¥11亿,¥6.9427,¥1.21亿,1.58亿,-0.40%
ZRX-0x协议,¥10.85亿,¥1.9659,"¥4,333.98万",5.52亿,+1.71%
XUC-雪币,¥9.54亿,¥14.6707,¥54.79万,"6,500万",+0.61%
BAT-注意力币,¥9.33亿,¥0.9328,"¥3,578.39万",10亿,+3.17%
ZIL-Zilliqa,¥7.17亿,¥0.094689,"¥3,271.53万",75.76亿,+3.82%
R-Revain,¥5.96亿,¥1.2312,"¥1,502.52万",4.84亿,+47.11%
AE-阿姨币,¥5.76亿,¥2.4735,¥1.99亿,2.33亿,+4.29%
LINK-ChainLink,¥5.33亿,¥1.5227,"¥2,491.72万",3.5亿,+2.41%
QASH-QASH,¥4.62亿,¥1.3192,"¥1,442.88万",3.5亿,+0.81%
REP-Augur,¥4.56亿,¥41.4438,¥976.25万,"1,100万",+3.17%
PPT-Populous,¥4.43亿,¥8.3145,¥261.01万,"5,325.22万",+5.14%
DAI-DAI,¥4.38亿,¥7.1380,"¥6,691.5万","6,132.77万",+0.35%
GNT-Golem,¥3.93亿,¥0.4096,"¥1,029.33万",9.6亿,+3.52%
SNT-Status,¥3.5亿,¥0.1009,"¥4,441.42万",34.7亿,+1.79%
MANA-Decentraland,¥3.42亿,¥0.3254,"¥4,764.76万",10.5亿,+2.84%
ARDR-阿朵币,¥3.32亿,¥0.3319,¥486.27万,9.99亿*,+5.55%
KCS-Kucoin Shares,¥3.18亿,¥3.5226,¥53.6万,"9,033.44万",+6.22%
POLY-Polymath Network,¥2.76亿,¥0.9618,"¥1,684.42万",2.87亿,+2.44%
DCN-Dentacoin,¥2.51亿,¥0.000767,¥10.72万,"3,268.22亿",+9.83%
MGO-MobileGo,¥2.5亿,¥2.5019,"¥6,619.6万","9,999.86万",+21.39%
QKC-QuarkChain,¥2.47亿,¥0.3086,"¥2,735.99万",8.02亿,+2.75%
IOST-Internet of Services,¥2.44亿,¥0.029049,"¥3,301.24万",84亿*,+8.79%
ODE-ODEM,¥2.31亿,¥1.0588,¥381.37万,2.18亿,-1.57%
ELF-ælf,¥2.18亿,¥0.7278,"¥2,491.53万",3亿,+4.93%
AION-Aion,¥2.15亿,¥0.8109,¥703.49万,2.65亿,+1.29%
BNT-Bancor,¥2.13亿,¥3.3751,¥689万,"6,325.68万",+3.64%
MCO-Crypto.com,¥2.03亿,¥12.8668,¥251.31万,"1,579.38万",+6.02%
LRC-路印协议,¥1.92亿,¥0.2432,¥344.07万,7.89亿,+4.35%
DGD-黄金代币,¥1.84亿,¥92.1778,¥136.19万,200万,+0.02%
POWR-Power Ledger,¥1.82亿,¥0.4630,¥599.66万,3.92亿,+2.16%
DAC-达芬奇,¥1.77亿,¥0.067163,"¥1,753.97万",26.4亿*,+7.18%
CENNZ-Centrality,¥1.7亿,¥0.2126,¥17万,8.02亿,+3.75%
ENJ-恩金币,¥1.7亿,¥0.2231,"¥2,337.12万",7.61亿,-4.23%
LOOM-Loom Network,¥1.67亿,¥0.2750,¥765.64万,6.06亿,+1.02%
VERI-Veritaseum,¥1.65亿,¥80.8206,¥339.06万,203.66万,+12.56%
CREDO-Credo,¥1.61亿,¥0.2936,¥29603.91,5.5亿,+2.52%
BOS-BOScoin,¥1.58亿,¥0.3458,¥17.16万,4.57亿*,+13.65%
KIN-Kin,¥1.5亿,¥0.000199,¥68.74万,"7,560.98亿",+4.39%
SWM-Swarm,¥1.44亿,¥2.0906,¥153.89万,"6,882.71万",+6.84%
BIX-BIX Token,¥1.44亿,¥1.1218,¥686.52万,1.28亿*,-0.67%
EDO-Eidoo,¥1.42亿,¥4.8459,¥206.8万,"2,926.15万",+1.39%
SLT-Smartlands,¥1.4亿,¥27.4489,¥617.47万,510.09万,+13.78%
AGI-SingularityNET,¥1.38亿,¥0.2548,¥167.51万,5.4亿,+4.53%
FUN-FunFair,¥1.3亿,¥0.025871,¥202.96万,50.11亿,+3.65%
SRN-Sirin Labs,¥1.24亿,¥0.2514,¥199.91万,4.92亿,+3.14%
GAS-Gas,¥1.23亿,¥12.1619,¥100.48万,"1,012.84万",+3.88%
STORJ-Storj,¥1.22亿,¥0.8988,"¥1,061.19万",1.36亿,+7.33%
DRGN-龙链,¥1.19亿,¥0.5003,¥16.76万,2.38亿,+7.94%
CVC-Civic,¥1.18亿,¥0.3450,"¥2,353.03万",3.43亿,+2.25%
KNC-Kyber Network,¥1.18亿,¥0.8801,"¥6,760.59万",1.34亿,+3.88%
SXDT-SXDT,¥1.14亿,¥1.3870,¥44.4429,"8,207.35万",-14.60%
SALT-SALT,¥1.13亿,¥1.4043,¥229.63万,"8,073.45万",+2.27%
CMT-草莓糖,¥1.11亿,¥0.1580,"¥1,001.91万",7亿,+0.40%
ENG-Enigma,¥1.1亿,¥1.4722,¥194.09万,"7,483.62万",-0.36%
DENT-Dentcoin,¥1.1亿,¥0.006383,¥154.95万,172.41亿,+8.33%
CS-Credits,¥1.09亿,¥0.7174,¥664.24万,1.52亿,+3.21%
GVT-Genesis Vision,¥1.07亿,¥24.1548,"¥1,844.91万",442.69万,+7.35%
DTR-DTR,¥1.07亿,¥0.087522,¥2775.36,12.17亿,+0.41%
SUB-Substratum,¥1.05亿,¥0.2754,¥163.46万,3.83亿,-0.88%
PLR-Pillar,¥1.04亿,¥0.4009,¥33339.24,2.59亿,+4.02%
REQ-Request Network,¥1.03亿,¥0.1411,¥98.01万,7.3亿,+5.18%
CTXC-Cortex,¥1.02亿,¥0.6789,¥929.48万,1.5亿,+4.09%
SAN-Santiment Network Token,"¥9,858.35万",¥1.5733,¥199.69万,"6,266.04万",+3.04%
TEN-Tokenomy,"¥9,831.87万",¥0.4916,¥12.14万,2亿,+5.80%
ICN-Iconomi,"¥9,748.49万",¥0.9854,¥42593.52,"9,893.03万",-0.85%
DROP-Dropil,"¥9,383.3万",¥0.004254,¥39.66万,220.56亿,-5.61%
FSN-Fusion,"¥9,321.96万",¥3.1404,¥226.52万,"2,968.43万",+0.56%
RLC-云算宝,"¥9,237.44万",¥1.1537,¥145.86万,"8,007.08万",+5.50%
