币种,流通市值,全球指数,24H成交额,流通数量,24H涨幅
BTC-比特币,"¥4,122.33亿",¥23654.23,¥162.62亿,"1,742.74万",+4.32%
XRP-瑞波币,¥861.08亿,¥2.1040,¥15.57亿,409.27亿*,+3.57%
ETH-以太坊,¥647.04亿,¥623.05,¥66.39亿,1.04亿,+3.50%
XLM-恒星币,¥136.28亿,¥0.7115,¥5.25亿,191.54亿*,+3.70%
EOS-柚子,¥132.75亿,¥14.6488,¥35.91亿,9.06亿,+9.09%
USDT-泰达币,¥127.77亿,¥6.8828,¥151.89亿,18.56亿,-0.28%
LTC-莱特币,¥118.07亿,¥198.08,¥26.88亿,"5,960.66万",+8.49%
BCH-比特现金,¥107.21亿,¥612.10,¥4.43亿,"1,751.51万",+9.17%
BCHSV-Bitcoin Cash SV(BSV),¥96.42亿,¥552.19,¥7.75亿,"1,746.11万*",+4.56%
TRX-波场,¥62.23亿,¥0.094076,¥2.14亿,661.45亿,+3.31%
ADA-艾达币,¥55.43亿,¥0.2138,"¥6,992.83万",259.27亿*,+4.86%
XMR-门罗币,¥47.82亿,¥287.15,¥52.92亿,"1,665.17万",+5.38%
MIOTA-埃欧塔,¥45.38亿,¥1.6326,"¥4,965.32万",27.8亿*,+1.91%
BNB-币安币,¥44.48亿,¥34.0072,¥1.1亿,1.31亿,+4.97%
DASH-达世币,¥40.34亿,¥474.04,¥8.4亿,851.01万,+5.97%
XEM-新经币,¥39.21亿,¥0.4356,"¥6,782.71万",90亿*,+1.27%
NEO-小蚁,¥28.61亿,¥44.0155,¥5.18亿,"6,500万*",+5.55%
ETC-以太经典,¥28.38亿,¥26.5672,¥7.92亿,1.07亿,+2.57%
HT-火币积分,¥22.48亿,¥7.4946,"¥3,488.76万",3亿*,+2.46%
ONT-本体,¥20.83亿,¥3.4861,"¥9,626.62万",5.97亿*,+10.52%
ZEC-大零币,¥20.82亿,¥380.74,¥3.98亿,546.94万,+5.42%
MKR-Maker,¥17.6亿,¥2416.43,"¥1,211.49万",72.82万,+2.24%
DOGE-狗狗币,¥16.89亿,¥0.014873,¥3.3亿,"1,135.58亿",+0.82%
