币种,流通市值,全球指数,24H成交额,流通数量,24H涨幅
AE-阿姨币,¥5.73亿,¥2.4583,¥1.99亿,2.33亿,+3.88%
ETH-以太坊,¥647.75亿,¥623.74,¥67.4亿,1.04亿,+3.70%
ABBC,--,¥0.5022,"¥6,538.59万",--,+9.63%
XZC-小零币,¥1.83亿,¥31.8443,¥584.54万,575.78万,+0.89%
RVN,¥2.24亿,¥0.090378,¥796.45万,24.77亿,+7.38%
ETC-以太经典,¥28.6亿,¥26.7677,¥8.27亿,1.07亿,+3.86%
TRUE-初链,"¥7,309.13万",¥1.6243,¥1.45亿,"4,500万",+4.10%
ACT-A链,"¥3,820.38万",¥0.050940,¥375.68万,7.5亿,+5.68%
IOST,¥2.43亿,¥0.028891,"¥3,293.07万",84亿,+8.34%
GXC-公信宝,¥1.99亿,¥3.3095,"¥1,111.84万","6,000万",+1.36%
HT-火币积分,¥22.55亿,¥7.5173,"¥3,731.41万",3亿,+2.46%
LTC-莱特币,¥118亿,¥197.97,¥26.83亿,"5,960.69万",+9.97%
ZB-ZB生态,¥6.17亿,¥0.8360,¥3.36亿,7.38亿,+2.48%
ZEC-大零币,¥20.77亿,¥379.80,¥3.98亿,546.97万,+5.38%
TCT,¥1.09亿,¥0.1704,¥153.48万,6.37亿,-1.26%
ZIL,¥7.19亿,¥0.094924,"¥3,288.64万",75.76亿,+4.87%
NULS,¥1.16亿,¥2.9064,¥904.95万,"4,000万",+5.92%
WAVES-波币,¥17.02亿,¥17.0248,¥1.68亿,1亿,+2.96%
WICC-维基链,¥1.47亿,¥0.7793,"¥3,094.96万",1.89亿,+2.96%
BTP-比特支付,"¥9,858.8万",¥0.5799,¥492.42万,1.7亿,-14.84%
NASH-纳希币,¥1.04亿,¥0.001489,¥45.69万,700亿,+9.86%
IFC-无限币,"¥4,176.08万",¥0.000461,¥35376.26,905.96亿,+2.72%
ITC-万物链,"¥3,885.15万",¥0.7770,"¥1,921.2万","5,000万",+7.18%
RHOC,"¥6,822.95万",¥0.1762,¥35.09万,3.87亿,+5.21%
DCR,¥9.25亿,¥102.82,"¥6,999.53万",899.49万,+1.94%
CMT-草莓糖,¥1.11亿,¥0.1592,"¥1,032万",7亿,+1.86%
CWV,¥1.61亿,¥0.040156,¥315.94万,40亿,+6.29%
SUQA,"¥1,073.43万",¥0.025660,¥147.33万,4.18亿,-1.04%
NEO-小蚁,¥28.55亿,¥43.9201,¥4.45亿,"6,500万",+7.53%
LRC-路印协议,¥1.94亿,¥0.2454,¥351.81万,7.89亿,+5.44%
SNT,¥3.51亿,¥0.1012,"¥4,464.67万",34.7亿,+1.64%
MDA,¥1.12亿,¥5.6901,"¥2,919.17万","1,962.89万",+2.55%
HPB-芯链,"¥5,356.36万",¥1.5988,¥926.01万,"3,350.26万",+0.57%
GNX,"¥2,548.78万",¥0.1055,"¥1,474.08万",2.42亿,-2.98%
MANA,¥3.45亿,¥0.3282,"¥4,768.26万",10.5亿,+4.39%
SMT,"¥6,117.99万",¥0.043276,¥45.43万,14.14亿,+2.83%
XIN,¥2.45亿,¥489.49,¥34141.39,50万,+2.87%
ETP-元界,¥2.22亿,¥4.1005,¥139.43万,"5,424.42万",+8.95%
SAFE-安网币,"¥9,675.63万",¥5.1466,¥96.55万,"1,880万",-10.88%
KNC,¥1.19亿,¥0.8869,"¥6,752.49万",1.34亿,+4.01%
ENU-牛油果,"¥2,593.39万",¥0.064835,¥39972,4亿,+12.24%
CROAT,¥182.45万,¥0.032336,¥20948.28,"5,642.23万",+42.25%
XCASH,¥136.64万,¥0.00006323,¥21944.95,216.11亿,+9.03%
XTZ,¥17.09亿,¥2.8131,¥763.58万,6.07亿,+2.45%
DGB-极特币,¥7.05亿,¥0.063002,¥382.77万,111.91亿,+4.56%
BLZ,"¥5,262.32万",¥0.2876,¥398.18万,1.83亿,+3.69%
BCX-比特无限,¥15.14亿,¥0.008763,¥40.88万,"1,727.6亿",-2.61%
